,Unnamed: 0,Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1, , .1,Attend.,Notes,Year,Month,Association,Start (ET)
123,50,1996-05-16,San Antonio Spurs,81,Utah Jazz,108,Box Score,https://www.basketball-reference.com/boxscores/,"19,911",,1996,5,NBA,
124,51,1996-05-18,Utah Jazz,72,Seattle SuperSonics,102,Box Score,https://www.basketball-reference.com/boxscores/,"17,072",,1996,5,NBA,
125,52,1996-05-19,Orlando Magic,83,Chicago Bulls,121,Box Score,https://www.basketball-reference.com/boxscores/,"24,411",,1996,5,NBA,
126,53,1996-05-20,Utah Jazz,87,Seattle SuperSonics,91,Box Score,https://www.basketball-reference.com/boxscores/,"17,072",,1996,5,NBA,
127,54,1996-05-21,Orlando Magic,88,Chicago Bulls,93,Box Score,https://www.basketball-reference.com/boxscores/,"24,395",,1996,5,NBA,
128,55,1996-05-24,Seattle SuperSonics,76,Utah Jazz,96,Box Score,https://www.basketball-reference.com/boxscores/,"19,911",,1996,5,NBA,
129,56,1996-05-25,Chicago Bulls,86,Orlando Magic,67,Box Score,https://www.basketball-reference.com/boxscores/,"17,248",,1996,5,NBA,
130,57,1996-05-26,Seattle SuperSonics,88,Utah Jazz,86,Box Score,https://www.basketball-reference.com/boxscores/,"19,911",,1996,5,NBA,
131,58,1996-05-27,Chicago Bulls,106,Orlando Magic,101,Box Score,https://www.basketball-reference.com/boxscores/,"17,248",,1996,5,NBA,
132,59,1996-05-28,Utah Jazz,98,Seattle SuperSonics,95,Box Score,https://www.basketball-reference.com/boxscores/,"17,072",,1996,5,NBA,
133,60,1996-05-30,Seattle SuperSonics,83,Utah Jazz,118,Box Score,https://www.basketball-reference.com/boxscores/,"19,911",,1996,5,NBA,
134,61,1996-06-02,Utah Jazz,86,Seattle SuperSonics,90,Box Score,https://www.basketball-reference.com/boxscores/,"17,072",,1996,6,NBA,
135,62,1996-06-05,Seattle SuperSonics,90,Chicago Bulls,107,Box Score,https://www.basketball-reference.com/boxscores/,"24,544",,1996,6,NBA,
136,63,1996-06-07,Seattle SuperSonics,88,Chicago Bulls,92,Box Score,https://www.basketball-reference.com/boxscores/,"24,544",,1996,6,NBA,
137,64,1996-06-09,Chicago Bulls,108,Seattle SuperSonics,86,Box Score,https://www.basketball-reference.com/boxscores/,"17,072",,1996,6,NBA,
138,65,1996-06-12,Chicago Bulls,86,Seattle SuperSonics,107,Box Score,https://www.basketball-reference.com/boxscores/,"17,072",,1996,6,NBA,
139,66,1996-06-14,Chicago Bulls,78,Seattle SuperSonics,89,Box Score,https://www.basketball-reference.com/boxscores/,"17,072",,1996,6,NBA,
140,67,1996-06-16,Seattle SuperSonics,75,Chicago Bulls,87,Box Score,https://www.basketball-reference.com/boxscores/,"24,544",,1996,6,NBA,
141,0,1997-04-24,Minnesota Timberwolves,95,Houston Rockets,112,Box Score,https://www.basketball-reference.com/boxscores/,"16,285",,1997,4,NBA,
142,1,1997-04-24,Orlando Magic,64,Miami Heat,99,Box Score,https://www.basketball-reference.com/boxscores/,"15,200",,1997,4,NBA,
143,2,1997-04-24,Charlotte Hornets,99,New York Knicks,109,Box Score,https://www.basketball-reference.com/boxscores/,"19,763",,1997,4,NBA,
144,3,1997-04-24,Los Angeles Clippers,86,Utah Jazz,106,Box Score,https://www.basketball-reference.com/boxscores/,"19,911",,1997,4,NBA,
145,4,1997-04-25,Detroit Pistons,75,Atlanta Hawks,89,Box Score,https://www.basketball-reference.com/boxscores/,"15,795",,1997,4,NBA,
146,5,1997-04-25,Washington Bullets,86,Chicago Bulls,98,Box Score,https://www.basketball-reference.com/boxscores/,"24,122",,1997,4,NBA,
147,6,1997-04-25,Portland Trail Blazers,77,Los Angeles Lakers,95,Box Score,https://www.basketball-reference.com/boxscores/,"17,505",,1997,4,NBA,
148,7,1997-04-25,Phoenix Suns,106,Seattle SuperSonics,101,Box Score,https://www.basketball-reference.com/boxscores/,"17,072",,1997,4,NBA,
149,8,1997-04-26,Los Angeles Clippers,99,Utah Jazz,105,Box Score,https://www.basketball-reference.com/boxscores/,"19,911",,1997,4,NBA,
150,9,1997-04-26,Charlotte Hornets,93,New York Knicks,100,Box Score,https://www.basketball-reference.com/boxscores/,"19,763",,1997,4,NBA,
151,10,1997-04-26,Minnesota Timberwolves,84,Houston Rockets,96,Box Score,https://www.basketball-reference.com/boxscores/,"16,285",,1997,4,NBA,
152,11,1997-04-27,Phoenix Suns,78,Seattle SuperSonics,122,Box Score,https://www.basketball-reference.com/boxscores/,"17,072",,1997,4,NBA,
153,12,1997-04-27,Orlando Magic,87,Miami Heat,104,Box Score,https://www.basketball-reference.com/boxscores/,"15,200",,1997,4,NBA,
154,13,1997-04-27,Portland Trail Blazers,93,Los Angeles Lakers,107,Box Score,https://www.basketball-reference.com/boxscores/,"17,505",,1997,4,NBA,
155,14,1997-04-27,Washington Bullets,104,Chicago Bulls,109,Box Score,https://www.basketball-reference.com/boxscores/,"24,267",,1997,4,NBA,
156,15,1997-04-27,Detroit Pistons,93,Atlanta Hawks,80,Box Score,https://www.basketball-reference.com/boxscores/,"16,378",,1997,4,NBA,
157,16,1997-04-28,New York Knicks,104,Charlotte Hornets,95,Box Score,https://www.basketball-reference.com/boxscores/,"24,042",,1997,4,NBA,
158,17,1997-04-28,Utah Jazz,104,Los Angeles Clippers,92,Box Score,https://www.basketball-reference.com/boxscores/,"11,747",,1997,4,NBA,
159,18,1997-04-29,Seattle SuperSonics,103,Phoenix Suns,110,Box Score,https://www.basketball-reference.com/boxscores/,"19,023",,1997,4,NBA,
160,19,1997-04-29,Miami Heat,75,Orlando Magic,88,Box Score,https://www.basketball-reference.com/boxscores/,"17,248",,1997,4,NBA,
161,20,1997-04-29,Houston Rockets,125,Minnesota Timberwolves,120,Box Score,https://www.basketball-reference.com/boxscores/,"19,006",,1997,4,NBA,
162,21,1997-04-29,Atlanta Hawks,91,Detroit Pistons,99,Box Score,https://www.basketball-reference.com/boxscores/,"20,059",,1997,4,NBA,
163,22,1997-04-30,Los Angeles Lakers,90,Portland Trail Blazers,98,Box Score,https://www.basketball-reference.com/boxscores/,"21,538",,1997,4,NBA,
164,23,1997-04-30,Chicago Bulls,96,Washington Bullets,95,Box Score,https://www.basketball-reference.com/boxscores/,"18,756",,1997,4,NBA,
165,24,1997-05-01,Miami Heat,91,Orlando Magic,99,Box Score,https://www.basketball-reference.com/boxscores/,"16,555",,1997,5,NBA,
166,25,1997-05-01,Seattle SuperSonics,122,Phoenix Suns,115,Box Score,https://www.basketball-reference.com/boxscores/,"19,023",,1997,5,NBA,
167,26,1997-05-02,Atlanta Hawks,94,Detroit Pistons,82,Box Score,https://www.basketball-reference.com/boxscores/,"21,454",,1997,5,NBA,
168,27,1997-05-02,Los Angeles Lakers,95,Portland Trail Blazers,91,Box Score,https://www.basketball-reference.com/boxscores/,"21,538",,1997,5,NBA,
169,28,1997-05-03,Phoenix Suns,92,Seattle SuperSonics,116,Box Score,https://www.basketball-reference.com/boxscores/,"17,072",,1997,5,NBA,
170,29,1997-05-04,Detroit Pistons,79,Atlanta Hawks,84,Box Score,https://www.basketball-reference.com/boxscores/,"16,378",,1997,5,NBA,
171,30,1997-05-04,Orlando Magic,83,Miami Heat,91,Box Score,https://www.basketball-reference.com/boxscores/,"15,200",,1997,5,NBA,
172,31,1997-05-04,Los Angeles Lakers,77,Utah Jazz,93,Box Score,https://www.basketball-reference.com/boxscores/,"19,911",,1997,5,NBA,
173,32,1997-05-05,Seattle SuperSonics,102,Houston Rockets,112,Box Score,https://www.basketball-reference.com/boxscores/,"16,285",,1997,5,NBA,
174,33,1997-05-06,Atlanta Hawks,97,Chicago Bulls,100,Box Score,https://www.basketball-reference.com/boxscores/,"24,397",,1997,5,NBA,
175,34,1997-05-06,Los Angeles Lakers,101,Utah Jazz,103,Box Score,https://www.basketball-reference.com/boxscores/,"19,911",,1997,5,NBA,
176,35,1997-05-07,New York Knicks,88,Miami Heat,79,Box Score,https://www.basketball-reference.com/boxscores/,"14,870",,1997,5,NBA,
177,36,1997-05-07,Seattle SuperSonics,106,Houston Rockets,101,Box Score,https://www.basketball-reference.com/boxscores/,"16,285",,1997,5,NBA,
178,37,1997-05-08,Atlanta Hawks,103,Chicago Bulls,95,Box Score,https://www.basketball-reference.com/boxscores/,"24,544",,1997,5,NBA,
179,38,1997-05-08,Utah Jazz,84,Los Angeles Lakers,104,Box Score,https://www.basketball-reference.com/boxscores/,"17,505",,1997,5,NBA,
180,39,1997-05-09,New York Knicks,84,Miami Heat,88,Box Score,https://www.basketball-reference.com/boxscores/,"14,870",,1997,5,NBA,
181,40,1997-05-09,Houston Rockets,97,Seattle SuperSonics,93,Box Score,https://www.basketball-reference.com/boxscores/,"17,072",,1997,5,NBA,
182,41,1997-05-10,Chicago Bulls,100,Atlanta Hawks,80,Box Score,https://www.basketball-reference.com/boxscores/,"16,378",,1997,5,NBA,
183,42,1997-05-10,Utah Jazz,110,Los Angeles Lakers,95,Box Score,https://www.basketball-reference.com/boxscores/,"17,505",,1997,5,NBA,
184,43,1997-05-11,Houston Rockets,110,Seattle SuperSonics,106,Box Score,https://www.basketball-reference.com/boxscores/,"17,072",,1997,5,NBA,
185,44,1997-05-11,Miami Heat,73,New York Knicks,77,Box Score,https://www.basketball-reference.com/boxscores/,"19,763",,1997,5,NBA,
186,45,1997-05-11,Chicago Bulls,89,Atlanta Hawks,80,Box Score,https://www.basketball-reference.com/boxscores/,"16,378",,1997,5,NBA,
